bedrooms,baths,sqft,total_rooms,days_on_the_market,maintenance_fee,subway_distance,school_distance,actual_price
1,1,750,3,51,947,0.179,0.104,849000
1,1,550,3,90,409,0.122,0.278,650000
2,1,800,4,36,1160,0.218,0.365,649000
2,1,850,4,30,1720,0.105,0.153,825000
1,1,550,3,135,442,0.231,0.124,824000
0,1,540,2.5,72,332,0.064,0.271,455000
3,2,1990,6,213,1280,0.183,0.329,2900000
2,1,1150,4,37,1500,0.129,0.351,1150000
0,1,540,2.5,59,331,0.064,0.271,795000
2,2,1300,5,39,1110,0.11,0.25,2000000
